CD_site1;CD_site2;CD_site3;CD_site4;CD_site5;
60.5162;59.837;59.3353;60.6154;59.5903;
61.1069;60.2251;60.0777;61.0384;60.07;
60.4273;60.0916;59.5779;59.667;59.6652;
60.4573;60.1561;59.511;60.5301;59.5017;
61.0794;60.097;59.8724;61.0229;60.1698;
60.7286;60.6621;59.8892;60.1159;60.0329;
60.1703;59.4637;58.8379;60.2597;59.6426;
60.5165;59.7269;59.3544;60.4725;59.7791;
60.2833;60.0219;59.1502;59.5856;59.3892;
60.2231;59.8091;59.1907;60.5211;59.821;
60.6078;59.689;59.5104;60.4594;59.6853;
60.0584;60.0024;59.2832;59.548;59.4336;
60.3702;59.9263;59.147;60.4912;59.7085;
60.7709;60.0212;59.9744;60.8368;59.7676;
60.2213;59.9153;59.1201;59.5834;59.6324;
60.1331;59.7331;59.0737;60.5905;60.0352;
60.8244;60.132;59.6342;60.7432;59.7215;
60.595;60.5702;59.8446;60.2178;60.0275;
60.1519;59.4849;59.0719;60.2875;59.4354;
60.7326;59.9997;59.5767;60.8255;60.1118;
60.4442;60.2798;59.3721;59.8496;59.6713;
60.558;60.2308;59.5891;60.6294;59.5795;
60.5452;59.663;59.5301;60.4405;59.7173;
60.1812;60.1585;59.455;59.8311;59.5849;
60.4656;59.7521;59.2296;60.3784;59.5816;
60.2171;59.7928;59.1992;60.1462;59.4706;
60.679;60.0312;59.676;60.6946;59.7498;
60.2856;60.5364;59.4284;59.7468;59.9994;
60.1287;59.5274;58.8267;60.1089;59.3138;
60.3301;59.6917;59.6014;60.3998;59.7271;
60.0879;60.0963;59.0748;59.5287;59.5093;
60.0727;59.9255;59.0265;60.2185;59.3554;
60.498;59.7675;59.3883;60.5243;59.7895;
59.4544;60.016;59.1644;59.3925;59.5823;
60.1139;59.6413;58.7204;60.1391;59.1041;
60.522;60.1795;59.6401;60.5544;59.8519;
59.7652;59.8195;58.9894;59.1156;59.3309;
59.9665;59.4009;58.5957;59.9417;59.2954;
60.315;59.7813;59.3492;60.4984;59.5098;
60.2152;60.5287;59.4928;59.5033;59.5491;
59.9982;59.458;58.8212;60.1166;59.4356;
60.5297;59.932;59.4729;60.5895;59.8498;
60.144;59.9978;59.0518;59.4021;59.5434;
60.122;59.8533;58.9922;60.1449;59.6087;
60.4647;59.7804;59.5009;60.3826;59.597;
59.9181;60.1042;58.9603;59.3132;59.7741;
60.1301;59.6912;58.7914;60.1733;59.1663;
60.5612;60.0876;59.4339;60.4631;59.6897;
59.909;59.9883;58.9976;59.3183;59.5051;
59.9923;59.6489;58.7464;59.9598;59.1805;
61.1043;60.2049;59.9318;60.8897;60.1532;
60.2295;60.1278;59.3683;59.8139;59.856;
60.7804;59.8067;59.3023;60.5773;59.8628;
60.75;59.8935;59.6791;60.8414;59.7007;
60.4551;60.2238;59.5004;59.8055;59.6599;
60.3195;59.6306;59.271;60.451;59.2571;
60.9673;59.9522;59.7689;60.7041;60.0878;
59.9257;59.8448;59.0864;59.4422;59.4461;
60.1783;59.433;58.8502;60.1406;59.2821;
60.2875;59.8001;59.5783;60.5469;59.4142;
60.4904;60.0207;59.4813;59.6934;59.8112;
60.0325;59.7698;59.0168;59.8108;59.2889;
60.8831;60.1294;59.7628;60.6326;59.7229;
60.0526;59.936;59.3005;59.5552;59.4016;
60.4184;59.5606;59.1009;60.2908;59.467;
60.5155;59.5419;59.5877;60.4365;59.4063;
60.3555;60.0847;59.2878;59.5964;59.5282;
60.0512;59.545;58.9763;60.0855;59.2136;
60.9248;59.976;59.8016;60.6645;60.0629;
60.239;59.9498;59.1938;59.7456;59.7487;
60.4456;59.7708;59.1142;60.2215;59.2748;
60.6727;60.0168;59.9152;60.6345;59.4723;
60.5072;60.1296;59.3034;59.618;59.9506;
60.2762;59.4334;58.9596;60.2533;59.3352;
60.9508;60.3853;59.6117;60.3875;60.0287;
59.8491;59.6467;58.9508;59.123;59.1721;
60.2239;59.6311;59.2793;60.1797;59.4519;
59.994;59.3402;58.5014;59.7491;59.2316;
59.5612;59.709;58.5154;58.8833;59.323;
60.3696;59.7175;59.2709;60.0944;59.5912;
59.7699;59.4244;58.5411;59.8016;58.9836;
59.7536;59.806;58.7597;58.9801;59.2243;
60.0592;59.6332;59.0211;59.9445;59.4503;
60.0366;59.518;58.6203;59.765;59.2901;
59.5807;59.7527;58.7463;59.1109;59.1525;
60.5753;59.6743;59.1347;60.0801;59.4845;
59.8815;59.428;58.4741;59.7458;59.032;
60.0775;59.9759;58.786;59.2211;59.6387;
60.0875;59.4436;59.0125;59.9681;59.2138;
59.7463;59.347;58.2705;59.5506;58.9196;
59.5332;59.732;58.5158;58.9822;59.3506;
60.3067;59.4645;59.1637;60.1212;59.2823;
59.7129;59.1805;58.58;59.6866;59.0019;
59.7244;59.7689;58.6896;59.0174;59.0607;
59.9654;59.4688;58.9586;59.9129;59.1808;
59.8161;59.5173;58.5898;59.5514;59.0994;
59.8729;59.8817;58.9525;59.1254;59.1892;
60.4039;59.6124;58.954;60.0036;59.5727;
59.7383;59.3571;58.7117;59.7572;58.9452;
59.9693;59.9316;58.8586;59.1436;59.5216;
